item_id,description,manufacturer_name
0000001289,A7084 1-1/2 S10 304SS FLG NPL,ANV
0000001487,2X2X1/2   6000 FS THRD TEE,ANV
0012,2 FIRELOCK 90 ELBOW,VIC
0015,5 FIRELOCK 90 ELBOW,VIC
001-832,PSM-1/6 REMOTE ACCESS,S-T
0018551CK,ANGLE WALL POST KIT FIG 551,KEN
0020,OIL BREATHER,GEN
0020-C01-MG0175,"1/2"" LIQUID RELIEF VALVE",TYC
002-181,POP-SAFETY VALVE 1/4 NPT,S-T
002212,2 1/2 FIRELOCK TEE,VIC
0024551CK,ANGLE WALL POST KIT FIG 551 B,KEN
003-119,QUICK CK BARBED ADPTR W/TUBING,S-T
0036551CK,ANGLE WALL POST KIT FIG 551 B,KEN
0038,8 FIRELOCK 45 ELBOW,VIC
0042,2 FLEX GRV COUPLING,VIC
004212,2 1/2 FLEX GRV COUPLING,VIC
0052551CK,ANGLE WALL POST KIT FIG 551,KEN
006-0125,1-1/4 F/LOCK CAP 006,VIC
006-0150,1-1/2 F/LOCK CAP 006,VIC
006-0600,6 F/LOCK CAP 006,VIC
0061793,8 HOSE CONNECTN VACUM BREAKER,WAT
0061852,S8C BACKFLW PREVNTR 1/2' INLET,WAT
0061928,H7DUAL CHK VLV W/HOSE CONNECTN,WAT
0061983,8B HOSE CONNECTN VACUM BREAKER,WAT
006212,2 1/2 FIRELOCK GRV CAP,VIC
00640441,3/4 DUAL BACKFLOW PREVENTER,WAT
0065122,"WRENCH FOR 3-6"" VLV W/5'TRENCH",KEN
006G-0300,3 F/LOCK CAP 006 GLV,VIC
007LF-0100,1 DBL CHK BACKFLOW LESS VLV,WAT
007LF-0125,"11/4""DBL CHK BACKFLOW LESS VLV",WAT
007LF-0150,11/2 DBL CHK BACKFLOW LESS VLV,WAT
007LF-0200,2 DBL CHK BACKFLOW LESS VLV,WAT
007M1DCDA-OSY-CFM-0200,"2"" DBL CHK DET W/OSY AND CFM",WAT
007M1DCDA-OSY-GPM-0200,"2"" DBL CHK DET W/OSY AND GPM",WAT
007M1QT-LF-0100,1 DBL CK  BKFL W/ QT LEAD FREE,WAT
007QT-0100,"1"" DBL CK BKFL W/QT BLVL",WAT
007QT-0125,"1 1/4"" DBL CK BKFL W/QT BLVL",WAT
007QT-0150,11/2 DBL CHK BACKFLOW+BVS,WAT
007QT-0200,"2"" BACKFLOW W/QT VALVES",WAT
007QT-50,"1 /2"" BACKFLOW  W/QT VALVES",WAT
007QT-FZ-0150,11/2 DBL CK QT FZ,WAT
007QTLF-0100,1 DBL CHECK VLV ASSEMBLY QT,WAT
007QTLF-0125,11/4 DBL CHECK VLV ASSEMBLY QT,WAT
007QTLF-0150,11/2 DBL CHECK VLV ASSEMBLY QT,WAT
007QTLF-0200,2 DBL CHECK VLV ASSEMBLY QT,WAT
007QTLF-75,"3/4"" BACKFLOW W/QT VALVES LF",WAT
007QTLF-FS-0150,11/2 DBL CHECK VLV ASSEMBLY QT,WAT
007QTLF-FZ-0100,1 DBL CHECK VLV ASSEMBLY QT,WAT
007QTLF-FZ-0200,2 DBL CHECK VLV ASSY QT FZ,WAT
007QTLF-FZ-75,"3/4"" BKFLOW W/QT FZ VLV LF",WAT
0080050EG,"1/2"" TWO HOLE STRAP EG",ERC
